2025-01-28 08:44:52.046 [info] [Info  - 8:44:51 AM] (14463) Server root directory: file:///home/sdci/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2025-01-28 08:44:52.080 [info] [Info  - 8:44:52 AM] (14463) Pylance language server 2024.12.1 (pyright version 1.1.389, commit ce1325fc) starting
2025-01-28 08:44:52.085 [info] [Info  - 8:44:52 AM] (14463) Starting service instance "dockers"
2025-01-28 08:44:52.147 [info] (Client) Pylance async client (2024.12.1) started with python extension (2024.22.2)
2025-01-28 08:44:53.027 [info] [Info  - 8:44:53 AM] (14463) Setting environmentName for service "dockers": "3.8.10 (usr venv)"
2025-01-28 08:44:53.723 [info] [Info  - 8:44:53 AM] (14463) Setting pythonPath for service "dockers": "/bin/python3"
2025-01-28 08:44:54.028 [info] [Info  - 8:44:54 AM] (14463) No include entries specified; assuming /home/sdci/sdci/dockers
2025-01-28 08:44:54.057 [info] [Info  - 8:44:54 AM] (14463) Auto-excluding **/node_modules
2025-01-28 08:44:54.602 [info] [Info  - 8:44:54 AM] (14463) Auto-excluding **/__pycache__
2025-01-28 08:44:54.776 [info] [Info  - 8:44:54 AM] (14463) Auto-excluding **/.*
2025-01-28 08:44:54.808 [info] [Info  - 8:44:54 AM] (14463) Assuming Python version 3.8.10.final.0
2025-01-28 08:44:54.826 [info] [Info  - 8:44:54 AM] (14463) Found 4 source files
2025-01-28 08:45:18.869 [info] [Info  - 8:45:18 AM] (14463) Background analysis(1) root directory: file:///home/sdci/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2025-01-28 08:45:18.998 [info] [Info  - 8:45:18 AM] (14463) Background analysis(1) started
2025-01-28 08:45:19.004 [info] [Info  - 8:45:19 AM] (14463) Indexer background runner(2) root directory: file:///home/sdci/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist (index)
2025-01-28 08:45:19.028 [info] [Info  - 8:45:19 AM] (14463) Indexing(2) started
2025-01-28 08:45:19.082 [info] [Info  - 8:45:19 AM] (14463) [BG(1)] Long operation: SemanticTokens full at file:///home/sdci/sdci/dockers/ordonnanceur.py (15092ms)
2025-01-28 08:45:23.273 [info] [Info  - 8:45:23 AM] (14463) [IDX(2)] Long operation: scan packages file:///home/sdci/sdci/dockers (19505ms)
2025-01-28 08:45:23.278 [info] [Info  - 8:45:23 AM] (14463) scanned(2) 174 files over 1 exec env
2025-01-28 08:45:27.296 [info] [Info  - 8:45:27 AM] (14463) indexed(2) 174 files over 1 exec env
2025-01-28 08:45:27.786 [info] [Info  - 8:45:27 AM] (14463) Indexing finished(2).
2025-01-28 09:59:17.678 [info] [Info  - 9:59:17 AM] (14463) [FG] Long operation: parsing: file:///home/sdci/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist/typeshed-fallback/stdlib/typing.pyi (5476ms)
2025-01-28 09:59:30.834 [info] [Info  - 9:59:30 AM] (14463) [BG(1)] Long operation: parsing: file:///home/sdci/sdci/dockers/ryu.py (2995ms)
2025-01-28 09:59:33.023 [info] [Info  - 9:59:33 AM] (14463) [BG(1)] Long operation: indexing: file:///home/sdci/sdci/dockers/ryu.py (5276ms)
2025-01-28 09:59:47.286 [info] [Info  - 9:59:47 AM] (14463) [BG(1)] Long operation: checking: file:///home/sdci/sdci/dockers/ryu.py (11404ms)
2025-01-28 09:59:47.286 [info] [Info  - 9:59:47 AM] (14463) [BG(1)] Long operation: analyzing: file:///home/sdci/sdci/dockers/ryu.py (12025ms)
